"image 1","180.98069999999998"
"image 2","187.1655000000001"
"image 3","184.47359999999998"
"image 4","187.1439"
"image 5","187.9163"
"image 6","186.9105999999999"
"image 7","187.50829999999993"
"image 8","187.3952999999999"
"image 9","181.7964"
"image 10","187.3795"
"image 11","188.2252000000001"
"image 12","188.00439999999998"
"image 13","188.23360000000008"
"image 14","179.4153"
"image 15","184.21690000000007"
"image 16","182.3022"
"image 17","187.0581999999999"
"image 18","186.02949999999998"
"image 19","183.6061000000001"
"image 20","188.43769999999998"
"image 21","185.8509"
"image 22","186.69929999999997"
"image 23","183.97520000000003"
"image 24","182.4861"
"image 25","187.9266999999999"
"image 26","185.32569999999996"
"image 27","185.18700000000004"
"image 28","184.29209999999995"
"image 29","182.60449999999994"
"image 30","185.4157"
"image 31","185.2071"
"image 32","175.87829999999994"
"image 33","182.34690000000006"
"image 34","184.75709999999998"
"image 35","186.68570000000003"
"image 36","186.33180000000004"
"image 37","178.18349999999995"
"image 38","186.3095"
"image 39","187.3297"
"image 40","184.41730000000007"
"image 41","185.7002000000001"
"image 42","186.0582"
"image 43","187.89949999999996"
"image 44","185.60060000000001"
"image 45","183.9608"
"image 46","187.55399999999997"
"image 47","179.1733999999999"
"image 48","184.35039999999998"
"image 49","178.99510000000006"
"image 50","184.81730000000005"
"image 51","181.78360000000004"
"image 52","182.39720000000005"
"image 53","182.87539999999998"
"image 54","185.50599999999997"
"image 55","182.50279999999998"
"image 56","187.95100000000002"
"image 57","184.98009999999994"
"image 58","187.9245999999999"
"image 59","184.35990000000004"
"image 60","186.76620000000005"
"image 61","185.64320000000004"
"image 62","181.2793"
"image 63","183.22440000000006"
"image 64","186.93980000000008"
"image 65","185.40030000000007"
"image 66","186.73290000000006"
"image 67","178.29220000000004"
"image 68","185.9835"
"image 69","182.2427"
"image 70","185.97819999999993"
"image 71","186.18810000000002"
"image 72","178.38350000000003"
"image 73","188.01899999999995"
"image 74","187.0795"
"image 75","188.43240000000006"
"image 76","185.1653"
"image 77","182.63890000000004"
"image 78","185.5382"
"image 79","186.47120000000004"
"image 80","184.52970000000002"
"image 81","183.13510000000008"
"image 82","188.44449999999998"
"image 83","183.3784"
"image 84","188.65490000000008"
"image 85","187.83240000000006"
"image 86","187.60509999999988"
"image 87","183.82819999999995"
"image 88","188.2612"
"image 89","183.2598999999999"
"image 90","185.69819999999993"
"image 91","188.3285"
"image 92","184.0134999999999"
"image 93","176.87290000000004"
"image 94","187.2662"
"image 95","186.2168"
"image 96","187.7385"
"image 97","187.79899999999998"
"image 98","181.94729999999998"
"image 99","184.12879999999993"
"image 100","186.69490000000002"
