timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%]
2018/11/16 15:50:54.780, [Not Supported], 36 %, 25 %
2018/11/16 15:50:55.781, [Not Supported], 38 %, 26 %
2018/11/16 15:50:56.781, [Not Supported], 39 %, 26 %
2018/11/16 15:50:57.782, [Not Supported], 42 %, 28 %
2018/11/16 15:50:58.783, [Not Supported], 40 %, 26 %
2018/11/16 15:50:59.784, [Not Supported], 43 %, 29 %
2018/11/16 15:51:00.784, [Not Supported], 32 %, 21 %
2018/11/16 15:51:01.785, [Not Supported], 33 %, 22 %
2018/11/16 15:51:02.786, [Not Supported], 39 %, 25 %
2018/11/16 15:51:03.786, [Not Supported], 44 %, 29 %
2018/11/16 15:51:04.787, [Not Supported], 45 %, 30 %
2018/11/16 15:51:05.788, [Not Supported], 40 %, 26 %
2018/11/16 15:51:06.788, [Not Supported], 41 %, 26 %
2018/11/16 15:51:07.789, [Not Supported], 39 %, 25 %
2018/11/16 15:51:08.789, [Not Supported], 46 %, 29 %
2018/11/16 15:51:09.790, [Not Supported], 46 %, 28 %
2018/11/16 15:51:10.791, [Not Supported], 46 %, 31 %
2018/11/16 15:51:11.792, [Not Supported], 44 %, 28 %
2018/11/16 15:51:12.792, [Not Supported], 41 %, 26 %
2018/11/16 15:51:13.793, [Not Supported], 41 %, 26 %
2018/11/16 15:51:14.793, [Not Supported], 40 %, 25 %
2018/11/16 15:51:15.794, [Not Supported], 39 %, 24 %
2018/11/16 15:51:16.795, [Not Supported], 55 %, 33 %
2018/11/16 15:51:17.795, [Not Supported], 42 %, 26 %
2018/11/16 15:51:18.796, [Not Supported], 47 %, 30 %
2018/11/16 15:51:19.797, [Not Supported], 55 %, 31 %
2018/11/16 15:51:20.797, [Not Supported], 45 %, 29 %
2018/11/16 15:51:21.798, [Not Supported], 40 %, 26 %
2018/11/16 15:51:22.799, [Not Supported], 50 %, 34 %
2018/11/16 15:51:23.799, [Not Supported], 40 %, 26 %
2018/11/16 15:51:24.800, [Not Supported], 42 %, 26 %
2018/11/16 15:51:25.801, [Not Supported], 55 %, 31 %
2018/11/16 15:51:26.801, [Not Supported], 41 %, 26 %
2018/11/16 15:51:27.802, [Not Supported], 43 %, 27 %
2018/11/16 15:51:28.803, [Not Supported], 57 %, 34 %
2018/11/16 15:51:29.804, [Not Supported], 42 %, 26 %
2018/11/16 15:51:30.805, [Not Supported], 40 %, 25 %
