timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%]
2018/11/16 15:51:28.377, [Not Supported], 42 %, 26 %
2018/11/16 15:51:29.378, [Not Supported], 46 %, 29 %
2018/11/16 15:51:30.379, [Not Supported], 57 %, 33 %
2018/11/16 15:51:31.380, [Not Supported], 40 %, 25 %
2018/11/16 15:51:32.381, [Not Supported], 40 %, 25 %
2018/11/16 15:51:33.382, [Not Supported], 46 %, 29 %
2018/11/16 15:51:34.383, [Not Supported], 39 %, 25 %
2018/11/16 15:51:35.384, [Not Supported], 42 %, 26 %
2018/11/16 15:51:36.385, [Not Supported], 43 %, 24 %
2018/11/16 15:51:37.385, [Not Supported], 43 %, 27 %
2018/11/16 15:51:38.386, [Not Supported], 41 %, 26 %
2018/11/16 15:51:39.387, [Not Supported], 56 %, 34 %
2018/11/16 15:51:40.388, [Not Supported], 41 %, 26 %
2018/11/16 15:51:41.389, [Not Supported], 46 %, 29 %
2018/11/16 15:51:42.390, [Not Supported], 46 %, 29 %
2018/11/16 15:51:43.391, [Not Supported], 37 %, 23 %
2018/11/16 15:51:44.392, [Not Supported], 44 %, 28 %
2018/11/16 15:51:45.393, [Not Supported], 40 %, 25 %
2018/11/16 15:51:46.394, [Not Supported], 45 %, 29 %
2018/11/16 15:51:47.395, [Not Supported], 40 %, 26 %
2018/11/16 15:51:48.396, [Not Supported], 39 %, 25 %
2018/11/16 15:51:49.397, [Not Supported], 34 %, 21 %
2018/11/16 15:51:50.398, [Not Supported], 44 %, 29 %
2018/11/16 15:51:51.399, [Not Supported], 47 %, 30 %
2018/11/16 15:51:52.400, [Not Supported], 41 %, 26 %
2018/11/16 15:51:53.401, [Not Supported], 40 %, 26 %
2018/11/16 15:51:54.402, [Not Supported], 40 %, 26 %
2018/11/16 15:51:55.403, [Not Supported], 38 %, 24 %
2018/11/16 15:51:56.404, [Not Supported], 36 %, 23 %
2018/11/16 15:51:57.405, [Not Supported], 43 %, 27 %
2018/11/16 15:51:58.407, [Not Supported], 40 %, 25 %
2018/11/16 15:51:59.407, [Not Supported], 36 %, 23 %
2018/11/16 15:52:00.408, [Not Supported], 44 %, 28 %
2018/11/16 15:52:01.409, [Not Supported], 45 %, 28 %
2018/11/16 15:52:02.410, [Not Supported], 39 %, 25 %
2018/11/16 15:52:03.411, [Not Supported], 42 %, 27 %
2018/11/16 15:52:04.412, [Not Supported], 45 %, 29 %
2018/11/16 15:52:05.413, [Not Supported], 42 %, 26 %
2018/11/16 15:52:06.414, [Not Supported], 41 %, 26 %
2018/11/16 15:52:07.415, [Not Supported], 44 %, 29 %
2018/11/16 15:52:08.416, [Not Supported], 41 %, 26 %
2018/11/16 15:52:09.417, [Not Supported], 38 %, 24 %
2018/11/16 15:52:10.418, [Not Supported], 43 %, 26 %
2018/11/16 15:52:11.419, [Not Supported], 50 %, 29 %
2018/11/16 15:52:12.420, [Not Supported], 45 %, 28 %
2018/11/16 15:52:13.421, [Not Supported], 46 %, 29 %
2018/11/16 15:52:14.422, [Not Supported], 43 %, 28 %
2018/11/16 15:52:15.423, [Not Supported], 41 %, 26 %
2018/11/16 15:52:16.423, [Not Supported], 39 %, 25 %
2018/11/16 15:52:17.424, [Not Supported], 53 %, 32 %
2018/11/16 15:52:18.426, [Not Supported], 39 %, 24 %
2018/11/16 15:52:19.426, [Not Supported], 35 %, 22 %
2018/11/16 15:52:20.427, [Not Supported], 50 %, 29 %
2018/11/16 15:52:21.428, [Not Supported], 45 %, 28 %
